function,dimension,mu,lambda,strategy,run,best_fitness,generations,function_evals,time,converged
sphere,10,15,100,plus,1,9.331987595208638e-07,71,7115,0.05588817596435547,True
sphere,10,15,100,plus,2,5.000154974340939e-07,69,6915,0.06550908088684082,True
sphere,10,15,100,plus,3,7.088364775156276e-07,75,7515,0.05697321891784668,True
sphere,10,15,100,plus,4,8.766421391069324e-07,63,6315,0.04740595817565918,True
sphere,10,15,100,plus,5,9.700991738119174e-07,63,6315,0.04718780517578125,True
sphere,10,15,100,plus,6,9.2976865352988e-07,70,7015,0.05246400833129883,True
sphere,10,15,100,plus,7,6.999985380486882e-07,69,6915,0.051680803298950195,True
sphere,10,15,100,plus,8,9.191638721255887e-07,60,6015,0.045217037200927734,True
sphere,10,15,100,plus,9,8.201844583460884e-07,65,6515,0.050279855728149414,True
sphere,10,15,100,plus,10,7.440226456721267e-07,68,6815,0.05436897277832031,True
sphere,10,15,100,plus,11,6.899429057984383e-07,64,6415,0.05071902275085449,True
sphere,10,15,100,plus,12,8.574560053826161e-07,69,6915,0.054472923278808594,True
sphere,10,15,100,plus,13,8.566523606144418e-07,71,7115,0.05607891082763672,True
sphere,10,15,100,plus,14,9.258227529579675e-07,63,6315,0.04932212829589844,True
sphere,10,15,100,plus,15,8.211377837695221e-07,69,6915,0.05190682411193848,True
sphere,10,15,100,plus,16,7.66781100411074e-07,66,6615,0.04979419708251953,True
sphere,10,15,100,plus,17,8.74383545118473e-07,58,5815,0.04365897178649902,True
sphere,10,15,100,plus,18,9.617311599264881e-07,67,6715,0.05064821243286133,True
sphere,10,15,100,plus,19,8.181757352837136e-07,69,6915,0.05537700653076172,True
sphere,10,15,100,plus,20,8.269110318795433e-07,62,6215,0.04842805862426758,True
sphere,10,15,100,plus,21,8.049993013389344e-07,68,6815,0.05173087120056152,True
sphere,10,15,100,plus,22,6.734945832997747e-07,67,6715,0.05090594291687012,True
sphere,10,15,100,plus,23,4.3572775311543095e-07,67,6715,0.05044293403625488,True
sphere,10,15,100,plus,24,4.5805463156999676e-07,66,6615,0.04958009719848633,True
sphere,10,15,100,plus,25,9.972636088509419e-07,66,6615,0.050818681716918945,True
sphere,10,15,100,plus,26,4.400050492853791e-07,76,7615,0.057607173919677734,True
sphere,10,15,100,plus,27,7.138897245778023e-07,61,6115,0.04607224464416504,True
sphere,10,15,100,plus,28,7.89997215100237e-07,70,7015,0.05296683311462402,True
sphere,10,15,100,plus,29,7.922177041682253e-07,74,7415,0.05562281608581543,True
sphere,10,15,100,plus,30,9.058035067597196e-07,67,6715,0.05162405967712402,True
rastrigin,10,20,140,plus,1,28.853742035362075,500,70020,0.671093225479126,False
rastrigin,10,20,140,plus,2,50.742689518419304,500,70020,0.6816072463989258,False
rastrigin,10,20,140,plus,3,57.70725558413248,500,70020,0.6753060817718506,False
rastrigin,10,20,140,plus,4,45.76789927077192,500,70020,0.6756846904754639,False
rastrigin,10,20,140,plus,5,39.7982157768907,500,70020,0.6609017848968506,False
rastrigin,10,20,140,plus,6,19.899140793875077,500,70020,0.6732120513916016,False
rastrigin,10,20,140,plus,7,54.722561285299285,500,70020,0.6621060371398926,False
rastrigin,10,20,140,plus,8,13.929416723667941,500,70020,0.6613509654998779,False
rastrigin,10,20,140,plus,9,27.85878801608787,500,70020,0.6640961170196533,False
rastrigin,10,20,140,plus,10,33.82847150996909,500,70020,0.6643109321594238,False
rastrigin,10,20,140,plus,11,27.85878801608787,500,70020,0.6624760627746582,False
rastrigin,10,20,140,plus,12,37.808343276849094,500,70020,0.6610066890716553,False
rastrigin,10,20,140,plus,13,38.80327691651186,500,70020,0.6629879474639893,False
rastrigin,10,20,140,plus,14,17.909227717507576,500,70020,0.661750078201294,False
rastrigin,10,20,140,plus,15,16.91426866041428,500,70020,0.6622710227966309,False
rastrigin,10,20,140,plus,16,24.873931041522454,500,70020,0.6635828018188477,False
rastrigin,10,20,140,plus,17,27.85878801608787,500,70020,0.6640510559082031,False
rastrigin,10,20,140,plus,18,22.884017965154953,500,70020,0.6604909896850586,False
rastrigin,10,20,140,plus,19,47.75787815799887,500,70020,0.6603879928588867,False
rastrigin,10,20,140,plus,20,31.83863436553733,500,70020,0.6645679473876953,False
rastrigin,10,20,140,plus,21,44.773046600863985,500,70020,0.6633241176605225,False
rastrigin,10,20,140,plus,22,28.853747073181168,500,70020,0.662139892578125,False
rastrigin,10,20,140,plus,23,33.828532283009466,500,70020,0.660484790802002,False
rastrigin,10,20,140,plus,24,33.828471509969106,500,70020,0.6626439094543457,False
rastrigin,10,20,140,plus,25,21.889058908061656,500,70020,0.6621670722961426,False
rastrigin,10,20,140,plus,26,43.77810774048515,500,70020,0.6609718799591064,False
rastrigin,10,20,140,plus,27,22.883997768440494,500,70020,0.6623580455780029,False
rastrigin,10,20,140,plus,28,21.889058908061656,500,70020,0.6615698337554932,False
rastrigin,10,20,140,plus,29,21.889058908061656,500,70020,0.6622281074523926,False
rastrigin,10,20,140,plus,30,11.939498609481362,500,70020,0.6645429134368896,False
sphere,10,N/A,N/A,L-BFGS-B,1,2.645840734039815e-16,2,44,0.006089925765991211,True
sphere,10,N/A,N/A,L-BFGS-B,2,2.439166202918566e-16,2,44,0.0006921291351318359,True
sphere,10,N/A,N/A,L-BFGS-B,3,1.2119587814994043e-11,1,33,0.00044798851013183594,True
sphere,10,N/A,N/A,L-BFGS-B,4,2.560740775890339e-16,2,44,0.0007770061492919922,True
sphere,10,N/A,N/A,L-BFGS-B,5,2.185653783751015e-16,2,44,0.0005698204040527344,True
sphere,10,N/A,N/A,L-BFGS-B,6,2.2256149601875575e-12,1,33,0.00042438507080078125,True
sphere,10,N/A,N/A,L-BFGS-B,7,1.1640261433110202e-12,1,33,0.0004069805145263672,True
sphere,10,N/A,N/A,L-BFGS-B,8,2.5991402821523684e-16,2,44,0.0005190372467041016,True
sphere,10,N/A,N/A,L-BFGS-B,9,5.764638573357969e-13,1,33,0.0004019737243652344,True
sphere,10,N/A,N/A,L-BFGS-B,10,2.5821778748878815e-16,2,44,0.0005214214324951172,True
sphere,10,N/A,N/A,L-BFGS-B,11,4.2126959421371665e-12,1,33,0.0003941059112548828,True
sphere,10,N/A,N/A,L-BFGS-B,12,2.600088100944948e-16,2,44,0.0005052089691162109,True
sphere,10,N/A,N/A,L-BFGS-B,13,2.470042398424133e-16,2,44,0.0005087852478027344,True
sphere,10,N/A,N/A,L-BFGS-B,14,2.254386149632804e-16,2,44,0.0005052089691162109,True
sphere,10,N/A,N/A,L-BFGS-B,15,1.1415457002021306e-12,1,33,0.00039505958557128906,True
sphere,10,N/A,N/A,L-BFGS-B,16,7.984375957434763e-13,1,33,0.0003857612609863281,True
sphere,10,N/A,N/A,L-BFGS-B,17,2.257978034452967e-16,2,44,0.0005068778991699219,True
sphere,10,N/A,N/A,L-BFGS-B,18,3.0798378708560913e-16,2,44,0.0005011558532714844,True
sphere,10,N/A,N/A,L-BFGS-B,19,2.1182467322880577e-16,2,44,0.0005011558532714844,True
sphere,10,N/A,N/A,L-BFGS-B,20,1.3289977533427206e-13,1,33,0.00041222572326660156,True
sphere,10,N/A,N/A,L-BFGS-B,21,2.552260785785799e-16,2,44,0.0005021095275878906,True
sphere,10,N/A,N/A,L-BFGS-B,22,2.4686650871545015e-16,2,44,0.0005497932434082031,True
sphere,10,N/A,N/A,L-BFGS-B,23,2.852904774472599e-12,1,33,0.0003898143768310547,True
sphere,10,N/A,N/A,L-BFGS-B,24,2.5141788950110206e-16,2,44,0.0007121562957763672,True
sphere,10,N/A,N/A,L-BFGS-B,25,1.5470325963676882e-12,1,33,0.0005309581756591797,True
sphere,10,N/A,N/A,L-BFGS-B,26,4.937519644901743e-12,1,33,0.00055694580078125,True
sphere,10,N/A,N/A,L-BFGS-B,27,3.866217752225408e-13,1,33,0.0004496574401855469,True
sphere,10,N/A,N/A,L-BFGS-B,28,2.5886549947991715e-16,2,44,0.0005388259887695312,True
sphere,10,N/A,N/A,L-BFGS-B,29,1.1501467550812084e-13,1,33,0.0004038810729980469,True
sphere,10,N/A,N/A,L-BFGS-B,30,9.39105921663746e-13,1,33,0.0004000663757324219,True
rastrigin,10,N/A,N/A,L-BFGS-B,1,99.49533902137883,11,165,0.0030641555786132812,False
rastrigin,10,N/A,N/A,L-BFGS-B,2,43.777965997691425,14,220,0.0029501914978027344,False
rastrigin,10,N/A,N/A,L-BFGS-B,3,78.60133038382631,12,220,0.002783060073852539,False
rastrigin,10,N/A,N/A,L-BFGS-B,4,78.60118790446111,14,220,0.002752065658569336,False
rastrigin,10,N/A,N/A,L-BFGS-B,5,104.47010905707796,14,220,0.003031015396118164,False
